"ROUND","COMM","AGE_GROUP","UNSUPPRESSION_RATE_RATIO_BY_AGE_CL","UNSUPPRESSION_RATE_RATIO_BY_AGE_CU","UNSUPPRESSION_RATE_RATIO_BY_AGE_M","UNSUPPRESSION_RATE_RATIO_RATIO_CL","UNSUPPRESSION_RATE_RATIO_RATIO_CU","UNSUPPRESSION_RATE_RATIO_RATIO_M"
"10","inland","15-24",1,1,1,1,1,1
"10","inland","25-34",1,1,1,1,1,1
"10","inland","35-49",1,1,1,1,1,1
"11","inland","15-24",0.98955595323529,1.0071785115556,0.998540023820786,0.972824423825842,1.01958537213919,0.995880470223043
"11","inland","25-34",0.993750645085139,1.01334578364356,1.00367327912744,0.972824423825842,1.01958537213919,0.995880470223043
"11","inland","35-49",0.98043619812867,1.00968765897717,0.994588167097305,0.972824423825842,1.01958537213919,0.995880470223043
"12","inland","15-24",0.887217764695532,1.00105920442968,0.95021298002012,0.904156560450338,1.01626859852758,0.960620908669172
"12","inland","25-34",0.915384906741495,1.03079754061493,0.973792719875566,0.904156560450338,1.01626859852758,0.960620908669172
"12","inland","35-49",0.842906888814706,1.06245128711084,0.948620654667253,0.904156560450338,1.01626859852758,0.960620908669172
"13","inland","15-24",0.900310616649386,1.02792205788447,0.970361621295088,0.902901521463702,1.03220591152855,0.966719109685341
"13","inland","25-34",0.924870022535521,1.05964453539508,0.991456277690469,0.902901521463702,1.03220591152855,0.966719109685341
"13","inland","35-49",0.818810484249788,1.06815128243614,0.939314355991569,0.902901521463702,1.03220591152855,0.966719109685341
"14","inland","15-24",0.933559633919088,1.0512758263215,0.995371596944266,0.993610967517598,1.11834661572049,1.05547710133921
"14","inland","25-34",0.978503748206333,1.10522673061585,1.04001163685126,0.993610967517598,1.11834661572049,1.05547710133921
"14","inland","35-49",0.967900693330433,1.22886517358512,1.09241091707294,0.993610967517598,1.11834661572049,1.05547710133921
"15","fishing","15-24",1,1,1,1,1,1
"15","fishing","25-34",1,1,1,1,1,1
"15","fishing","35-49",1,1,1,1,1,1
"15","inland","15-24",0.866105351682048,1.33775255785721,1.07926077370392,0.944309434345282,1.24897227787724,1.08938210724657
"15","inland","25-34",0.880036020982871,1.21757564481037,1.0383618370426,0.944309434345282,1.24897227787724,1.08938210724657
"15","inland","35-49",0.884000033760371,1.5460983670103,1.1643468084984,0.944309434345282,1.24897227787724,1.08938210724657
"16","fishing","15-24",1.01592719910969,1.36930601378006,1.17872340457783,1.08617743707921,1.34250387098723,1.20638308395509
"16","fishing","25-34",1.17947200678395,1.52933741947874,1.3427364554191,1.08617743707921,1.34250387098723,1.20638308395509
"16","fishing","35-49",0.975246487030463,1.56051143555667,1.23828046141507,1.08617743707921,1.34250387098723,1.20638308395509
"16","inland","15-24",1.01042526444481,1.44165564420143,1.21862685657009,1.14020390328786,1.42310815139936,1.27718614439443
"16","inland","25-34",1.20933256040619,1.57544748189118,1.38297679232919,1.14020390328786,1.42310815139936,1.27718614439443
"16","inland","35-49",1.04599761319069,1.53840240956991,1.26882679334635,1.14020390328786,1.42310815139936,1.27718614439443
"17","fishing","15-24",1.3441844277903,2.25299951571835,1.76007944975063,1.26750420560008,1.671179825309,1.45528233732483
"17","fishing","25-34",1.28979409910601,1.76899928139891,1.50830541694239,1.26750420560008,1.671179825309,1.45528233732483
"17","fishing","35-49",1.07776740827964,1.79063735302637,1.38882664986837,1.26750420560008,1.671179825309,1.45528233732483
"17","inland","15-24",1.0699926893928,1.69102246071282,1.36275215995879,1.25007849032175,1.63689888196448,1.42953153831477
"17","inland","25-34",1.2317630794105,1.70800717466294,1.44942543518917,1.25007849032175,1.63689888196448,1.42953153831477
"17","inland","35-49",1.41597828728285,2.28743675214,1.79607170794394,1.25007849032175,1.63689888196448,1.42953153831477
"18","fishing","15-24",1.1389610233659,2.19047605764457,1.58831059893874,1.1143515867776,1.5947368321563,1.33411917339871
"18","fishing","25-34",1.18033637499135,1.81708023733413,1.46974608373219,1.1143515867776,1.5947368321563,1.33411917339871
"18","fishing","35-49",1.12692152133013,2.2698826072986,1.5853396032914,1.1143515867776,1.5947368321563,1.33411917339871
"18","inland","15-24",1.25132739586035,2.00441166745965,1.60560709800457,1.29702210823077,1.82811522470994,1.54271666147475
"18","inland","25-34",1.25129342379269,1.85115566233269,1.52935500087997,1.29702210823077,1.82811522470994,1.54271666147475
"18","inland","35-49",1.4539169975621,2.8523746148272,2.04032291504999,1.29702210823077,1.82811522470994,1.54271666147475
